Temp_K,B_T,Rxx,Rxy,Bridge3Resistance_Ohms
19.999857711792,4.9300816015625,505.0541015625,176.396464538574,NaN
19.9998651504517,4.8160930859375,505.02092590332,176.38610534668,NaN
19.9990694046021,4.6987091796875,504.954403686523,176.362013244629,NaN
20.0002397537231,4.5811070703125,504.903167724609,176.351000976562,NaN
19.9995143890381,4.4688971875,504.851998901367,176.329119873047,NaN
19.999836730957,4.350862578125,504.812188720703,176.306288146973,NaN
20.0000659942627,4.236817890625,504.741253662109,176.294117736816,NaN
19.999743270874,4.1193701171875,504.684008789062,176.278187561035,NaN
19.9998857498169,4.007765703125,504.619024658203,176.261065673828,NaN
19.9997392654419,3.89419296875,504.55798034668,176.241941833496,NaN
20.0007080078125,3.7776094921875,504.517462158203,176.219174194336,NaN
19.9996877670288,3.6660762109375,504.454791259766,176.199780273438,NaN
20.0002023696899,3.55397640625,504.363687133789,176.175801086426,NaN
20.0000078201294,3.4413550390625,504.310049438477,176.14933013916,NaN
19.9996801376343,3.329167265625,504.237033081055,176.133561706543,NaN
19.9998113632202,3.2160500390625,504.166638183594,176.102806091309,NaN
20.0003759384155,3.10354955078125,504.098361206055,176.084169006348,NaN
19.9996053695679,2.99275384765625,504.040356445313,176.076557922363,NaN
20.0007375717163,2.87994548828125,503.950955200195,176.034230041504,NaN
19.9991090774536,2.7603062109375,503.871447753906,176.006942749023,NaN
19.9999370574951,2.64495775390625,503.795275878906,175.984440612793,NaN
20.0001720428467,2.53117041015625,503.709371948242,175.952557373047,NaN
19.9999780654907,2.41745587890625,503.622341918945,175.927470397949,NaN
20.0002716064453,2.29864080078125,503.53918762207,175.892192077637,NaN
20.0002788543701,2.178677578125,503.438021850586,175.858790588379,NaN
20.0005838394165,2.0631218359375,503.331979370117,175.821479797363,NaN
19.9994617462158,1.9476365234375,503.24778137207,175.78469543457,NaN
20.0002202987671,1.83232759765625,503.154650878906,175.754502868652,NaN
20.0000370025635,1.722838046875,503.065466308594,175.719836425781,NaN
19.9999925613403,1.60916782226563,502.955581665039,175.684999084473,NaN
19.9997652053833,1.49738862304688,502.846987915039,175.645889282227,NaN
20.0002069473267,1.3841471875,502.751013183594,175.611128234863,NaN
19.9997755050659,1.2640162109375,502.680166625977,175.569941711426,NaN
20.001277923584,1.152364296875,502.556848144531,175.525894165039,NaN
19.9992458343506,1.0413648828125,502.489767456055,175.489981079102,NaN
19.9994617462158,0.927127099609375,502.388174438477,175.45782623291,NaN
20.0003719329834,0.809549038085938,502.315222167969,175.420230102539,NaN
19.9994441986084,0.692869443359375,502.248565673828,175.38701171875,NaN
19.9996292114258,0.574531240234375,502.169842529297,175.354638671875,NaN
20.0007297515869,0.458249282226563,502.126232910156,175.333723449707,NaN
19.9999458312988,0.342266809082031,502.086294555664,175.30795135498,NaN
19.9999443054199,0.232673447265625,502.053567504883,175.295985412598,NaN
19.9990306854248,0.116207611083984,502.024291992188,175.26809387207,NaN
20.0003652572632,0.00286974850535393,502.012707519531,175.253770446777,NaN
20.0002010345459,-0.109596395874023,501.991650390625,175.236979675293,NaN
19.9994707107544,-0.224012531738281,502.02939453125,175.236357116699,NaN
19.9995805740356,-0.3400972265625,502.021389770508,175.240019226074,NaN
